ENCFF682VTY	HEK293|eGFP-ZNF547|None
ENCFF757UDB	K562|NCOR1|None
ENCFF508ANP	GM12878|CBX8|None
ENCFF400GKD	GM12878|NBN|None
ENCFF599CTG	K562|eGFP-ZNF639|None
ENCFF889SRN	GM12878|ESRRA|None
ENCFF003MTQ	K562|eGFP-ADNP|None
ENCFF300RMI	K562|SMARCA4|None
ENCFF859GGT	GM12878|TBL1XR1|None
ENCFF287JBL	HEK293|eGFP-ZNF394|None
ENCFF235PWV	HepG2|FLAG-SOX13_isoform1|None
ENCFF631RMQ	K562|eGFP-HDAC8|None
ENCFF183YHV	HEK293T|HDGF|None
ENCFF600VDZ	SK-N-SH|SIN3A|None
ENCFF233IWJ	GM12878|SIX5|None
ENCFF402JCS	A549|HDAC2|None
ENCFF619KDE	HeLa-S3|REST|None
ENCFF984LWO	K562|eGFP-MAFG|None
ENCFF805RSY	K562|CTBP1|None
ENCFF469QQF	HepG2|FLAG-GATAD1|None
ENCFF627GPM	GM12878|RBBP5|None
ENCFF127KFE	HEK293|eGFP-ZFP41|None
ENCFF632THJ	HepG2|MAFK|None
ENCFF413WVP	HepG2|FLAG-KLF9|None
ENCFF931AKO	HEK293|eGFP-ZSCAN21|None
ENCFF131CHB	H1-hESC|RFX5|None
ENCFF099LCC	HEK293|eGFP-ZBTB20|None
ENCFF098XNJ	HEK293|eGFP-PRDM6|None
ENCFF281NFW	K562|E2F4|None
ENCFF211CXT	MCF-7|eGFP-GABPA|None
ENCFF035BOY	GM12878|NR2C1|None
ENCFF429HYI	HepG2|FLAG-PAF1_isoform1|None
ENCFF983ZND	neutrophil|CTCF|None
ENCFF077WVW	K562|CHAMP1|None
ENCFF485YDQ	HepG2|TBX3|None
ENCFF876EPR	HEK293|eGFP-SALL1|None
ENCFF701OWK	HepG2|FLAG-MXD3_isoform1|None
ENCFF543JCS	MCF-7|NCOA3|None
ENCFF818HAL	T47D|GATA3|dimethyl-sulfoxide
ENCFF176ESH	GM12878|STAT1|None
ENCFF667LOH	K562|ELF1|None
ENCFF236SLK	HepG2|FLAG-KLF11|None
ENCFF793SZW	HEK293|eGFP-GLI2|None
ENCFF342CWI	HEK293|eGFP-HIC1|None
ENCFF315QEI	K562|DPF2|None
ENCFF538UZE	K562|BCOR|None
ENCFF058WUU	MCF-7|ZNF217|None
ENCFF992GIC	SK-N-MC|POLR2AphosphoS5|None
ENCFF130MXC	K562|MCM2|None
ENCFF680HDE	GM12891|POU2F2|None
ENCFF347GPU	HEK293|eGFP-ZFP64|None
ENCFF216COR	K562|MAFK|None
ENCFF526SDZ	HEK293|eGFP-ZNF548|None
ENCFF409DRF	HepG2|RFX1|None
ENCFF897LDW	K562|NFYB|None
ENCFF998MYK	H1-hESC|RAD21|None
ENCFF866SJZ	PC-9|EZH2|None
ENCFF259WDV	K562|CC2D1A|None
ENCFF075AKQ	GM12878|MAX|None
ENCFF988ZSS	HepG2|ZKSCAN1|None
ENCFF090GMA	MCF-7|SMARCA5|None
ENCFF601ZZJ	K562|NCOA6|None
ENCFF647TZD	MCF-7|NONO|None
ENCFF085LKV	H1-hESC|KDM6A|None
ENCFF419OQC	fibroblast-of-pedal-digit-skin|CTCF|None
ENCFF829MGY	GM12878|ARID3A|None
ENCFF444KHX	HepG2|FLAG-GATAD2A|None
ENCFF722JFZ	H1-hESC|NANOG|None
ENCFF851IPG	HepG2|FLAG-RAD21|None
ENCFF423GUZ	K562|MYNN|None
ENCFF137NDG	HepG2|ARID3A|None
ENCFF160SNW	MCF-7|ZBTB7B|None
ENCFF740UST	HepG2|FLAG-THRB|None
ENCFF940TMU	liver|FOXA2|None
ENCFF282AHI	GM12878|ZSCAN29|None
ENCFF921MFR	GM12878|ZNF143|None
ENCFF458FNC	A549|REST|None
ENCFF245FMD	GM12878|BACH1|None
